Genus,HS01_ave,HS03_ave,HS05_ave,HS09_ave,HS13_ave,HS15_ave,HS17_ave,HS19_ave,JW01,JW02,JW03,JW04,JW05,JW06,JW07,JW08,JW09,JW10,JW11,JW12,JW13,JW14,JW15,JW16,JW17,JW18,JW19,JW20,LZ01,LZ02_ave,LZ03,LZ04_ave,LZ05,LZ06_ave,LZ10,LZ11_ave,LZ13,LZ14_ave,LZ16,LZ17_ave,QZ01,QZ02,QZ03,QZ04,QZ05,QZ06,QZ07,QZ08,QZ09,YZ01,YZ02,YZ03,YZ04_ave,YZ05,YZ06_ave,YZ09,YZ10,YZ11,YZ12,YZ13,YZ14,YZ15,YZ16,YZ17,YZ18,YZ19,YZ20,YZ21,YZ22_ave,YZ24,YZ25,YZ26,YZ27,YZ28,YZ29_ave,YZ32_ave,YZ33_ave,MG01,MG02,MG03,MG04,MG05,MG06,MG07,MG08,MG09,MG10,MG11,MG12,MG13,MG14,MG15,AM01,AM02,AM03,AM04,AM05,AM06,AM07,AM08,AM09
Absicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001794344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abyssivirga,0.043433667,0.031391918,0.107565357,0.11181257,0.217265752,0,0.035293479,0.027423557,0.035790482,0.093818364,0.042431802,0.046634386,0.043973143,0.155691385,0.183971702,0.138486371,0.111653716,0.073618284,0.045077294,0.084077772,0.083491853,0.067638863,0.023414782,0.417215943,0.603404779,0.344678051,0.221884405,0.102973573,0.21565856,0.037327361,0.01689267,0.003871547,0.119993807,0.154506393,0.020288091,0.234924719,0,0.067693481,0,0.002577705,0.009183636,0.005452067,0.012204764,0.002847367,0.009747016,0,0.004263556,0.00977083,0.012099664,0.029556068,0.18717199,0.223778663,0.030457317,0.095668812,0.136780063,0.063298423,0.107717384,0.1452636,0.09387668,0.065683406,0.078639863,0.119061417,0.129932509,0.188008365,0.162249098,0.176662178,0.078353031,0.094721174,0.180412338,0.014239774,0.047026793,0.020210743,0,0,0.02570177,0.116018917,0.307043154,0,0,0.075888985,0.089214909,0.253542133,0.351699883,1.179692437,0,0,0.016355904,0,0,0,0,0,0.082428504,0.148812099,0.09770649,0.153590936,0.236160488,0.080280017,0.175668299,0.094155906,0.221986099
Acanthopleuribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005812433,0.000256807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001129321,0.011533942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetanaerobacterium,0,0,0,0.015274941,0,0,0.012216973,0.013711778,0.197080054,0.150455257,0.157457773,0.159747579,0.111624131,0.160496675,0.176385241,0.166917348,0.125187499,0.0615317,0.276650845,0.152795182,0.176451854,0.117015232,0.062691189,0.227189858,0.052530084,0.133833777,0.032246177,0.037982056,0,0,0,0,0,0.002928723,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007106058,0,0.033989478,0.067284049,0.067811716,0.11320055,0.080448774,0.085418166,0,0,0.031742787,0.019913235,0.020302144,0.0299053,0.056896606,0,0.004617749,0.018421295,0.015537065,0.032298196,0.0420983,0.080562027,0,0,0,0,0.006396111,0.003685685,0.088162331,0.05392118,0,0,0.216825672,0.178429818,0,0,0,0,0,0,0,0.034788659,0.046422177,0,0,0,0,0,0,0,0,0.006977479,0,0
Acetitomaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017765145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetivibrio,0.028781346,0.008371178,0,0,0.093506779,0,0,0.13102366,0.024170195,0.015131994,0.02658378,0,0,0,0.042673849,0,0,0,0.016793502,0.040422006,0.013771852,0.015556938,0.00679784,0.014725269,0.036632822,0.050094207,0,0,0.046628878,0.051896891,0.044535221,0.053491877,0.037417424,0.052456678,0.034779584,0.005417947,0.02222284,0.000243152,0,0.007597447,0.594487369,0.116310768,1.10426583,0.021355252,0.010721718,1.587546659,1.566430466,0,0,0,0,0,0,0.016307184,0,0.012555059,0.004252002,0.00484212,0,0.016719412,0.013291244,0,0,0.005937106,0,0.01093349,0.008971721,0,0.007249288,0.008306535,0.012375472,0.022966753,0.007672021,0.034112593,0.001235097,0.181695211,0,0,0,0,0,0,0.187573271,0,0,0,0,0,0.133356526,0.086212614,0.048144047,0,0,0.031146718,0,0,0,0,0,0.018906808,0.003383934
Acetoanaerobium,0,0.024590335,0,0,0,0.031230871,0.035293479,0.176729588,0.191967129,0.08992728,0.134963805,0.02976663,0.017476505,0.016337985,0.027500925,0.014674053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002847367,0,0,0,0.020429917,0.012099664,0,0.029360312,0.085249014,0.013610774,0.031527222,0.173510379,0.070622208,0.037559351,0.183462546,0.029869853,0.011345316,0.011076037,0.023180099,0.051110892,0.032983924,0.048887283,0.01265983,0.005981147,0.015035107,0.023301283,0,0,0.007349361,0,0,0,0,0.084534185,0,1.233337486,1.485255854,0,0,0,0,0.446428571,0.180239227,0,0.481327801,0,0,0,0,0,0,0,0,0.002902126,0.002497601,0,0.005293906,0.002030361
Acetobacter,0,0,0.004829465,0.042464337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetobacterium,0.00366308,0.053889459,0,0,0,0.081200265,0,0.196535491,0.003718492,0.007349826,0.001022453,0,0,0.00480529,0,0.004585641,0,0,0.004419343,0.004042201,0.006025185,0,0,0.014024065,0.01036778,0.005233723,0,0,0.084514841,0.055285153,0.036856735,0.018970581,0.092898431,0.077383362,0.033330435,0.105145979,0.111114198,0.081650398,0.030810944,0.001537579,0,0,0,0,0,0,0,0,0,0.103446238,0.325410127,0.192779021,0.061787778,0.183727605,0.168919089,0.092593561,0.082914039,0.197988906,0.107389233,0.048366872,0.043196544,0.262356573,0.105916548,0.110166305,0.09494052,0.208311754,0.078353031,0.060140428,0.148524101,0.039159379,0.206670379,0.606322288,0.152481419,0.147110557,0.195556946,0.000978745,0.234907957,0,0,0,0,0.134228188,0,0,0,0,0,0,0.162347075,0.046422177,0.115545713,0,0.004012007,0,0,0,0,0,0.026678597,0.044998204,0.033839344
Acetobacteroides,0.051283125,0.12975326,1.479133418,0.895417059,0.849811611,0,4.085898898,1.622560446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084514841,0.128866925,0.156641123,0.19022202,0.325144509,0.194597353,0.424600759,0.128266755,0.619461652,0.234301143,0.469866897,0.437305457,0,0.659700136,0,0.018033324,0,0,0,0,0,0.084234793,0.376790673,0.058124328,0.039805094,0.205470517,0.02204828,0.105671748,0.068032032,0.039812987,0.059028519,0.065683406,0.049842166,0.031609226,0.035716045,0.034303281,0.029757477,0.022442427,0.029307622,0.016538618,0.012427351,0.195796893,0.132417548,0.158929933,0.079597219,0.241986206,0.048266787,0.162622233,0.357552209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.275453448,4.867539929,0.851442267,0.046542708,3.752448669,9.203657915,0.006567039,0.352422907,0.041622394
Acetomicrobium,0,0,0.029635353,0,0,0.048720159,0.017646739,0.004570593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39386778,0,1.110102891,0,0,3.760887137,3.436426117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004818437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010704002,0.022984637,0,0
Acetonema,0,0,0.01536648,0.012219953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004850641,0,0,0,0,0,0,0,0,0.014571524,0,0,0.001096938,0,0.002473144,0,0,0.019444985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003670039,0,0,0,0,0.012031932,0.011338672,0.008608213,0,0.011942437,0,0,0.009852702,0,0,0.01093349,0,0,0,0,0,0,0,0.005330093,0,0.003011523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02268817,0
Acholeplasma,0.006802863,0.006278384,0,0,0.002750199,0,0,0,0.004183303,0,0.010735757,0,0.030442945,0,0,0,0,0,0,0,0,0,0.002265947,0.014725269,0,0,0,0,0.253544523,0.633774542,0.115177296,0.000258103,0.015483072,0.178261588,0.010144045,0.012095883,0.02222284,0.105041608,0.003081094,0.012119738,0,0.035135544,0,0.163723597,0.042886871,0,0,0.023982945,0.024199328,0.5659987,0.398810907,0.480494444,1.062924406,0.527265611,0.576131147,0.07846912,0.024094678,0.04357908,0.091743119,0.108079059,0.240350003,0.645881845,0.069584709,0.019130676,0.130366088,0.373464996,0.422269008,0.428500549,0.983141522,0,0,0,0,0,0,0.021783349,0.184831424,0,0,0,0,0,0.328253224,0.400252791,0,0,0,0,0.156548965,0,0.043329642,0,0,0,0,0,0,0,0,0,0
Achromobacter,0,0,0,0.024745405,0.006875498,0,0,0,0,0,0.007668398,0,0,0,0,0.010088411,0,0,0,0.017785683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00708667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007294558,0,0,0,0,0,0,0.006050179,0
Acidaminobacter,0.001569892,0.01517276,0.04061141,0.025509152,0,0.03622781,0.021719064,0,0,0,0.002044906,0,0,0,0.011379693,0.013756924,0,0,0.034470872,0.008892841,0.055948149,0,0.020393519,0.046279415,0.011058965,0.094207016,0.014587556,0.008440457,0.016028677,0,0,0,0,0.000846075,0,0,0,0,0,0,0,0.004240497,0,0,0,0,0,0,0,0,0,0,0.024653477,0.029352931,0.022401456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026720299,0,0,0,0,0.149142431,0,0,0,0,0,0,0,0,0,0,0.003647279,0,0,0,0,0.061012813,0,0,0
Acidaminococcus,0.012035835,0.00366239,0.197788544,0.575865287,0.002750199,0.528426339,0.074659282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006776525,0,0,0,0.001041324,0,0,0.012500347,0.021008322,0.013864925,0.010853496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000302722,0,0,0.01291232,0,0,0,0,0.009236908,0.01715164,0.016295761,0.006905362,0.010167951,0,0.000906161,0,0,0,0.007672021,0,0.000294071,0.017466832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032302962,0,0,0.011417602,0,0.074492825,0.027071475
Acidibrevibacterium,0,0,0,0,0,0,0,0,0,0.00475577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001816415,0,0,0,0,0,0,0,0,0,0,0.002834668,0,0,0,0,0,0.002463176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidiferrimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001726341,0,0,0,0,0,0,0,0,0,0.002359026,0,0,0,0,0.109040444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidisoma,0.006802863,0.004185589,0,0,0,0,0,0,0,0,0.005112265,0,0,0,0.002844923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002985609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
