Genus,HS01_ave,HS03_ave,HS05_ave,HS09_ave,HS13_ave,HS15_ave,HS17_ave,HS19_ave,JW01,JW02,JW03,JW04,JW05,JW06,JW07,JW08,JW09,JW10,JW11,JW12,JW13,JW14,JW15,JW16,JW17,JW18,JW19,JW20,LZ01,LZ02_ave,LZ03,LZ04_ave,LZ05,LZ06_ave,LZ10,LZ11_ave,LZ13,LZ14_ave,LZ16,LZ17_ave,QZ01,QZ02,QZ03,QZ04,QZ05,QZ06,QZ07,QZ08,QZ09,YZ01,YZ02,YZ03,YZ04_ave,YZ05,YZ06_ave,YZ09,YZ10,YZ11,YZ12,YZ13,YZ14,YZ15,YZ16,YZ17,YZ18,YZ19,YZ20,YZ21,YZ22_ave,YZ24,YZ25,YZ26,YZ27,YZ28,YZ29_ave,YZ32_ave,YZ33_ave,MG01,MG02,MG03,MG04,MG05,MG06,MG07,MG08,MG09,MG10,MG11,MG12,MG13,MG14,MG15,AM01,AM02,AM03,AM04,AM05,AM06,AM07,AM08,AM09
Acidovorax,1.008393687,0.648243099,0.058173101,0.118380795,0.213140453,0.218616098,0.286420155,0.24376495,0.927763653,0.604847426,0.708559977,0.289232418,0.631972985,0.257563526,0.19345478,0.16600022,0.121804053,0.227447533,0.114019039,0.115606936,0.078327409,0.071020806,0.156350315,0.100272067,0,0.026168616,0,0,0.139886634,0,0.127462875,0,0.099349711,0.022258293,0,0,0,0,0,0,0,0,0,0,0,0,0.025581336,0,0,2.540344033,0.286263044,0.761428696,1.044280213,0.328317968,0.519572516,0.794107492,1.807100843,1.949760315,1.315695896,1.119603511,1.201750014,1.141093047,0.474161289,0.740159246,0.814079537,0.527684747,0.379802861,0.332275864,0.248547014,0.135277854,0.273497927,0.41707624,0.263725725,0.418945281,0.360040433,0.064998701,0.858798115,0.245913496,4.061293136,1.853859497,0.208168121,0.19388516,0,0,0.148809524,0.081926921,0.139025188,0.282157676,0,0,0,0,0,0,0,0,0,0,0,0,0
Aestuariimonas,0.010465944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013114372,0,0.035321038,0.110403622,0.390947564,0.057793461,0.566617396,0.13803166,0.215283758,0.587065877,0.147892531,0.253971814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025296792,0.001489801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alkalimarinus,0,0,0,0,0,0,0,0.004570593,0.009296229,0.006052798,0.001022453,0,0.003946308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00886682,0,0,0,0,0.000302722,0.014647569,0.012047339,0.010222253,0.010667805,0.018510778,0.02104447,0,0.009236908,0.00857582,0.005668091,0.004603575,0.010766065,0,0.010615029,0,0,0,0,0.005330093,0.006587181,0,0.005766971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerobiospirillum,0.005756269,0.021974342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastocatella,0,0,0,0,0,0,0,0,0,0,0,0.003472773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000455579,0,0,0,9.73E-05,0,0,0,0,0,0,0,0,0,0,0,0.019211444,0,0.078467843,0.052388639,0.039137241,0.271642884,0.07637661,0.014882007,0.03550888,0.036981722,0.013733803,0.006645622,0.032662867,0.043105572,0.015172605,0.023380874,0.03452681,0.041868032,0.033077235,0.074650405,0,0,0.021129413,0,0,0,0.008883992,0.130910244,0,0,0,0,0,0,0,0,0,0.057245666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curvibacter,0.256415624,0.230207396,0,0,0,0,0,0,0.275168378,0.080415741,0.125250501,0.105671535,0.139248285,0,0,0,0.043984797,0,0,0,0,0,0,0,0,0,0,0,0.056828945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.69675474,0.132121405,0,7.058136495,0,0,0.137582523,0.249450783,0.450855172,0.347059242,0.155251687,0.19161544,0.152777924,0.084363762,0.088396915,0.103442657,0.052941109,0.061007704,0.090210642,0.054887466,0.072385518,0.074252831,0.082680312,0.083433229,0.092743612,0.046110269,0.239717218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054777625,0,0,0,0
Cystobacteraceae,0.00366308,0.070631815,0.021952114,0.019857424,0.077005583,0.031230871,0.016289298,0,0.015338778,0.016429022,0.015336796,0.004961105,0.018040264,0.002883174,0.00853477,0.006419898,0.015789414,0.106581694,0.016793502,0.008892841,0.013771852,0.020968047,0.030967937,0.07292514,0.053221269,0,0,0.057395106,0.033514506,0.013440109,0.023035459,0.007291414,0.003870768,0.009371913,0,0.004283958,0.01666713,0.001021238,0.021567661,0.015240118,0,0.006057852,0,0.008542101,0.000974702,0,0.001705422,0,0,0,0,0.100748835,0.009501861,0.044572969,0.106205102,0.019355716,0.024094678,0.040889013,0.049783088,0.06389204,0.053164978,0.037931071,0.024015961,0.063329133,0.045344726,0.048912981,0.093904015,0.045105321,0.055318971,0.008306535,0,0.012861382,0.023016063,0.006396111,0.006116668,0.033980016,0.1264889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063827382,0.003460746,0.020338902,0.045877812,0.043169121,0.052092811,0.032014316,0.043107523,0.035531312
Desulfonatronobacter,0,0,0,0,0,0,0,0,0,0,0,0.02976663,0,0.001922116,0,0,0.034962275,0,0,0,0,0.074402749,0,0,0,0.002243024,0.0452982,0,0,0,0,0,0,0.058118875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128568895,0.275252927,1.054956552,0.383926549,0.615324404,1.098983156,0.010985677,0.00708667,0.031204773,0.050494275,0.032244581,0.091931107,0.04952112,0.018473816,0.088396915,0.081478805,0.268158225,0.320589502,0.350317993,0.466327705,0,0,0,0,0,0,0.024794871,0.158015009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elstera,0,0.001046397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028479548,0.032176227,0.119427117,0,0.315541484,0.01599744,0.030717533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erysipelotrichaceae_incertae_sedis,0,0,0.005488028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002532137,0,0,0,0,0,0.015099193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057634332,0.064837356,0.058124328,0.346175912,0.940380936,0.279362305,0.093116689,0.129686061,0.06778968,0.227579831,0.477697498,0.405382954,0.090613114,0.252475491,0.600967089,0.700717722,0.786060376,1.221350304,1.017876742,0.757895791,0.144771036,0.141080379,0.026641434,0.109326301,0.352852133,0.270956647,0.071900108,0.098807438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014960156,0,0,0,0,0
