Sample name,Microbial sample,Group,Reactor type,Reactor volume,Height/diameter,Feeding strategy,Substrate,Pretreat,Co-digest,Substrate1,Sub_weight1,Substrate2,Sub_weight2,BMP,Startup time,Microaeration,T,OLR,HRT,Q,tCOD.inf,sCOD.inf,sCOD/tCOD.inf,tCOD.eff,sCOD.eff,VSS,VFA.inf,VFA.eff,FA,SRT,GAC amend,GAC config,GAC amount,Specific surface area,V GAC/V total,Hydrolysis efficiency,Acidogenesis efficiency,Methanogenesis efficiency,SMA-acetate,SMA-hydrogen
YY_01,,YY,UASB,1,2.5,Continuous,Acetate and glucose,No,No,Acetate,,glucose,,100,,,35,1.9,1.67,0.6,3.2,3.2,1,0.768,0.768,14.5,,,,,NoGAC,NoGAC,0,0,0,,,56,0.1268,0.22
YY_02,,YY,UASB,1,2.5,Semi-continuous,Acetate and glucose,No,No,Acetate,,glucose,,100,,,35,1.4,2.22,0.45,3.2,3.2,1,1.28,1.28,17.7,,,,,NoGAC,NoGAC,0,0,0,,,33,0.154,0.133
YY_03,,YY,UASB,1,2.5,Continuous,Acetate and glucose,No,No,Acetate,,glucose,,100,,,35,1,3.3,0.3,3.2,3.2,1,0.544,0.544,6,,,,,NoGAC,NoGAC,0,0,0,,,70,0.201,0.142
YY_04,,YY,UASB,1,2.5,Continuous,Acetate and glucose,No,No,Acetate,,glucose,,100,,,35,1,3.3,0.3,3.2,3.2,1,0.352,0.352,5.05,,,,,NoGAC,NoGAC,0,0,0,,,74,0.496,3.54
YY_05,,YY,UASB,1,2.5,Continuous,Acetate and glucose,No,No,Acetate,,glucose,,100,,,35,1,3.3,0.3,3.2,3.2,1,0.672,0.672,13.3,,,,,NoGAC,NoGAC,0,0,0,,,60,0.0522,0.394
YY_06,,YY,UASB,1,2.5,Semi-continuous,Acetate and glucose,No,No,Acetate,,glucose,,100,,,35,1,3.3,0.3,3.2,3.2,1,1.664,1.664,8.8,,,,,NoGAC,NoGAC,0,0,0,,,25,0,0.045
YY_07,,YY,UASB,1,2.5,Continuous,Acetate and glucose,No,No,Acetate,,glucose,,100,,,35,1,3.3,0.3,3.2,3.2,1,0.608,0.608,4.6,,,,,NoGAC,NoGAC,0,0,0,,,58,0.201,0.188
YY_08,,YY,UASB,1,2.5,Continuous,Acetate and glucose,No,No,Acetate,,glucose,,100,,,35,1,3.3,0.3,3.2,3.2,1,0.416,0.416,4.29,,,,,NoGAC,NoGAC,0,0,0,,,72,0.544,3.685
YY_09,,YY,UASB,1,2.5,Continuous,Acetate and glucose,No,No,Acetate,,glucose,,100,,,35,1,3.3,0.3,3.2,3.2,1,0.384,0.384,13.77,,,,,NoGAC,NoGAC,0,0,0,,,71,0.793,1.478
AM_01,,AM,UASB,2,4.6,Continuous,Dog food,No,No,dog food,1,None,0,88.56,60,,35,1.4,10,0.2,14,1,0.071428571,1.44,0.93,10.1,,,750,50,WithGAC,settled,25,1000,0.03,55.68,,55.91343,0.378245214,0.62145173
